,,Rerun,,,,,,,,,Rerun,Rerun,Rerun,,Rerun,,,,,,,,,,,,,,,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun
FA_id,CapFork Alg1,CapFork Alg1,CapFork Alg2,CapFork Alg3,Diles Alg1,Diles Alg2,Diles Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,LickB Alg1,LickB Alg1,LickB Alg2,LickB Alg3,LewisP Alg1,LewisP Alg2,LewisP Alg3,LPiney Alg1,LPiney Alg2,LPiney Alg3,MillC Alg1,MillC Alg2,MillC Alg3,Mulberry Alg1,Mulberry Alg2,Mulberry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Cove Alg1,Cove Alg2,Cove Agl3,ELivingston Alg1,ELivingston Alg2,ELivingston Alg3,Spring Alg1,Spring Alg2,Spring Alg3
18:3w3,366.9077175,356.8300585,60.453476,190.2659465,136.147622,325.9978693,220.5539937,18.79331516,18.24394454,289.822888,18.52701091,18.16023016,290.2341479,327.8347738,331.0400834,38.47885336,56.87092612,138.5053637,135.6572649,252.9148928,9.635506662,226.6718803,601.9264194,1142.195867,1204.735376,1161.038511,406.8470301,264.0504183,295.2826614,1729.419286,1012.301529,2516.755262,1786.122886,1042.119838,2620.267565,924.3666815,2982.370358,2125.436992,895.0938656,3107.874023,2239.99982,765.2342993,2835.833869,139.424556,779.4238252,2949.43107,138.1898208,181.8686369,376.8361391,210.1682407,3361.766932,793.8589684,3894.212327,580.6457053,265.3063873,136.379134
18:4w4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:4w3,14.69983154,13.2318278,2.382772108,6.677058035,56.55182514,164.2564099,102.8918177,6.269063294,6.082869771,64.09159583,6.150193117,5.591666286,61.17863432,112.2696843,112.8491208,12.89117633,17.94601116,18.41132679,17.83273966,32.67029111,2.219886342,12.58648593,37.11127438,167.6918656,143.3336772,152.1821509,30.22598245,17.06126417,21.435134,325.5539475,168.8070497,471.7950279,325.9162372,165.5484795,474.6845043,40.3355457,123.3227649,94.54537076,33.78695885,122.3108162,91.71887192,28.67157718,314.6764851,6.887442212,31.73585301,314.6698811,6.546347864,25.37419567,61.46620149,27.72108255,152.1755581,78.38610378,207.9128717,34.2498672,6.541801332,0.662954124
18:5w3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA20:0,15.2859616,14.21077443,3.319396364,8.054518433,13.32698715,26.59911045,20.38650618,32.79985015,24.04692766,44.54192985,30.57262527,19.6367954,41.7284786,39.23604634,37.09804682,5.207572882,9.673978005,13.52733742,18.18869747,30.43138496,8.017989479,19.15127027,21.17111655,68.13689512,110.3373569,66.03293527,72.59984229,50.16002273,50.95483543,62.68470772,33.53957587,83.01547368,59.00058307,31.51889998,79.3213809,54.92131608,122.6605664,74.1918389,53.69065066,115.3503025,70.22789903,101.3701783,104.864679,11.6315321,97.75951421,99.35595076,10.44530985,82.41844009,99.60595694,89.18255094,33.54143019,310.3950023,36.08500795,31.09638361,15.83531275,8.201689586
20:1w9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:1w7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:2w6,10.23786788,9.073310665,1.528570786,4.122714805,6.365711078,14.16701756,10.05589563,1.692716463,1.579027161,10.79013739,0.942655946,2.004272398,10.67502971,8.396028933,8.619297444,0.38326763,1.306992409,4.826804757,5.755066176,9.188144824,0.803958837,7.292515233,12.15009047,13.90814373,15.11399979,14.04602853,4.502944233,1.627230398,4.38616981,24.19524806,12.98045137,35.17083266,24.18960871,12.29132269,32.74784614,10.92003995,23.64962788,15.42486453,10.26822062,26.73617887,14.92867162,19.91866964,33.88620736,2.243854014,19.90088817,34.56087022,1.544696155,7.232426245,7.993767571,6.272990394,33.91978812,18.99994826,37.18375018,19.91585089,9.033916125,7.671326287
20:3w6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:4w6,43.16013384,38.27922045,5.814563383,19.80884716,79.49084075,226.4790003,137.5723619,7.106171709,8.961037447,133.405335,7.174376064,8.265720853,128.6122028,186.3002342,178.4951297,20.29493357,28.8264437,27.34271585,27.21210356,51.84002608,1.195138809,21.5625577,78.22660989,510.0966561,383.1115238,429.4396385,31.15211992,19.30839186,24.13431542,487.5534511,259.3050909,709.716361,482.321362,249.5522884,687.8488654,61.64807737,225.1764748,165.0066714,52.6205597,216.463613,161.897159,57.06653421,745.0678313,11.70537007,57.5956656,723.5013918,11.46425099,36.89057703,84.54425363,37.86856701,276.1066969,354.5449842,351.4240278,290.0024452,142.9591267,66.78789256
